taxonomic_id,level,kingdom,subkingdom,phylum_division,subphylum_subdivision,class,subclass,order,family,subfamily,tribe,genus,species,infrakingdom,superorder,phylum,subphylum,superclass,infraclass,suborder,infraorder,superfamily,parvorder,subterclass,section,subsection,infraphylum,parvphylum,gigaclass,subgenus,forma,megaclass
243,Family,Animalia,NA,NA,NA,Bivalvia,Autobranchia,Venerida,Veneridae,NA,NA,NA,NA,NA,Imparidentia,Mollusca,NA,NA,Heteroconchia,NA,NA,Veneroidea,NA,Euheterodonta,NA,NA,NA,NA,NA,NA,NA,NA
443,Family,Animalia,NA,NA,NA,Gastropoda,Vetigastropoda,Trochida,Trochidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Trochoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558,Phylum,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Porifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
793,Phylum,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
799,Phylum,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
801,Phylum (Division),Plantae,Viridiplantae,Chlorophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
830,Class,Chromista,Harosa,NA,NA,Phaeophyceae,NA,NA,NA,NA,NA,NA,NA,Heterokonta,NA,Ochrophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
852,Phylum (Division),Plantae,Biliphyta,Rhodophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
882,Phylum,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
883,Class,Animalia,NA,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
895,Order,Animalia,NA,NA,NA,Polychaeta,Errantia,Eunicida,NA,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
902,Family,Animalia,NA,NA,NA,Polychaeta,Sedentaria,NA,Orbiniidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,Scolecida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
913,Family,Animalia,NA,NA,NA,Polychaeta,Sedentaria,Spionida,Spionidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,Canalipalpata,Spioniformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
919,Family,Animalia,NA,NA,NA,Polychaeta,Sedentaria,Terebellida,Cirratulidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,Canalipalpata,Cirratuliformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
924,Family,Animalia,NA,NA,NA,Polychaeta,Sedentaria,NA,Opheliidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,Scolecida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
939,Family,Animalia,NA,NA,NA,Polychaeta,Errantia,Phyllodocida,Polynoidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,Aphroditiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
944,Family,Animalia,NA,NA,NA,Polychaeta,Errantia,Phyllodocida,Chrysopetalidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
948,Family,Animalia,NA,NA,NA,Polychaeta,Errantia,Phyllodocida,Syllidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
967,Family,Animalia,NA,NA,NA,Polychaeta,Errantia,Eunicida,Lumbrineridae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
985,Family,Animalia,NA,NA,NA,Polychaeta,Sedentaria,Sabellida,Sabellidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,Canalipalpata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
988,Family,Animalia,NA,NA,NA,Polychaeta,Sedentaria,Sabellida,Serpulidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,Canalipalpata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
989,Subfamily,Animalia,NA,NA,NA,Polychaeta,Sedentaria,Sabellida,Serpulidae,Spirorbinae,NA,NA,NA,NA,NA,Annelida,NA,NA,Canalipalpata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1065,Phylum,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1066,Subphylum,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Crustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1078,Class,Animalia,NA,NA,NA,Ostracoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Crustacea,Oligostraca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1080,Class,Animalia,NA,NA,NA,Copepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Crustacea,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1082,Subclass,Animalia,NA,NA,NA,Thecostraca,Cirripedia,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Crustacea,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1100,Order,Animalia,NA,NA,NA,Copepoda,NA,Calanoida,NA,NA,NA,NA,NA,NA,Gymnoplea,Arthropoda,Crustacea,Multicrustacea,Neocopepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1101,Order,Animalia,NA,NA,NA,Copepoda,NA,Cyclopoida,NA,NA,NA,NA,NA,NA,Podoplea,Arthropoda,Crustacea,Multicrustacea,Neocopepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1102,Order,Animalia,NA,NA,NA,Copepoda,NA,Harpacticoida,NA,NA,NA,NA,NA,NA,Podoplea,Arthropoda,Crustacea,Multicrustacea,Neocopepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1128,Order,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,NA,NA,NA,NA,Eucarida,Arthropoda,Crustacea,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1130,Order,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Decapoda,NA,NA,NA,NA,NA,NA,Eucarida,Arthropoda,Crustacea,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1131,Order,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Isopoda,NA,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1133,Order,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Tanaidacea,NA,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1135,Order,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,NA,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1137,Order,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Cumacea,NA,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1268,Order,Animalia,NA,NA,NA,NA,NA,Sipuncula,NA,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302,Class,Animalia,NA,NA,NA,Pycnogonida,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Chelicerata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1337,Class,Animalia,NA,NA,NA,Hydrozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cnidaria,Medusozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1341,Class,Animalia,NA,NA,NA,Octocorallia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cnidaria,Anthozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1360,Order,Animalia,NA,NA,NA,Hexacorallia,NA,Actiniaria,NA,NA,NA,NA,NA,NA,NA,Cnidaria,Anthozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1363,Order,Animalia,NA,NA,NA,Hexacorallia,NA,Scleractinia,NA,NA,NA,NA,NA,NA,NA,Cnidaria,Anthozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1410,Phylum,Chromista,Harosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rhizaria,NA,Foraminifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1484,Family,Animalia,NA,NA,NA,Arachnida,Acari,Trombidiformes,Halacaridae,NA,NA,NA,NA,NA,Acariformes,Arthropoda,Chelicerata,NA,NA,Prostigmata,NA,Halacaroidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1762,Order,Animalia,NA,NA,NA,Gastropoda,Heterobranchia,Nudibranchia,NA,NA,NA,NA,NA,NA,Nudipleura,Mollusca,NA,NA,Euthyneura,NA,NA,NA,NA,Ringipleura,NA,NA,NA,NA,NA,NA,NA,NA
1821,Phylum,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,Class,Animalia,NA,NA,NA,Ascidiacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Tunicata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2036,Subclass,Animalia,NA,NA,NA,Clitellata,Oligochaeta,NA,NA,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2041,Subclass,Animalia,NA,NA,NA,Clitellata,Hirudinea,NA,NA,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11676,Superclass,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Vertebrata,Pisces,NA,NA,NA,NA,NA,NA,NA,NA,Gnathostomata,NA,NA,NA,NA,NA
14629,Superfamily,Animalia,NA,NA,NA,Bivalvia,Autobranchia,Galeommatida,NA,NA,NA,NA,NA,NA,Imparidentia,Mollusca,NA,NA,Heteroconchia,NA,NA,Galeommatoidea,NA,Euheterodonta,NA,NA,NA,NA,NA,NA,NA,NA
14767,Superfamily,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Littorinimorpha,NA,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Rissooidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15308,Order,Plantae,Biliphyta,Rhodophyta,Eurhodophytina,Florideophyceae,Corallinophycidae,Corallinales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22496,Family,Animalia,NA,NA,NA,Polychaeta,Errantia,Phyllodocida,Nereididae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22989,Family,Animalia,NA,NA,NA,Gastropoda,Heterobranchia,NA,Architectonicidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,"""Lower Heterobranchia""",NA,NA,Architectonicoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23009,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Neogastropoda,Columbellidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Buccinoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23022,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Littorinimorpha,Cypraeidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Cypraeoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23023,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Neogastropoda,Cystiscidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Volutoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23038,family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Neogastropoda,Fasciolariidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Buccinoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23075,Family,Animalia,NA,NA,NA,Gastropoda,Patellogastropoda,NA,Nacellidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Patelloidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23082,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Neogastropoda,Olividae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Olivoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23100,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Caenogastropoda incertae sedis,Potamididae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Cerithioidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100701,Genus,Animalia,NA,NA,NA,Hexacorallia,NA,Actiniaria,Actiniidae,NA,NA,Condylactis,NA,NA,NA,Cnidaria,Anthozoa,NA,NA,Enthemonae,NA,Actinioidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101361,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Caprellidae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Caprelloidea,Caprellidira,NA,NA,NA,NA,NA,NA,NA,NA,NA
101368,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Aoridae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Aoroidea,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA
101376,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Corophiidae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Corophioidea,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA
101380,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Eusiridae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Amphilochidea,Amphilochida,Eusiroidea,Eusiridira,NA,NA,NA,NA,NA,NA,NA,NA,NA
101383,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Gammaridae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Gammarida,Gammaroidea,Gammaridira,NA,NA,NA,NA,NA,NA,NA,NA,NA
101388,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Isaeidae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Isaeoidea,Caprellidira,NA,NA,NA,NA,NA,NA,NA,NA,NA
101395,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Lysianassidae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Amphilochidea,Lysianassida,Lysianassoidea,Lysianassidira,NA,NA,NA,NA,NA,NA,NA,NA,NA
101398,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Melphidippidae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Amphilochidea,Lysianassida,Dexaminoidea,Synopiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA
101403,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Phoxocephalidae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Amphilochidea,Lysianassida,Haustorioidea,Haustoriidira,NA,NA,NA,NA,NA,NA,NA,NA,NA
101430,Genus,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Caprellidae,Caprellinae,NA,Caprella,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Caprelloidea,Caprellidira,NA,NA,NA,NA,NA,NA,NA,NA,NA
101436,Genus,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Caprellidae,Phtisicinae,NA,Phtisica,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Caprelloidea,Caprellidira,NA,NA,NA,NA,NA,NA,NA,NA,NA
101445,Genus,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Ampeliscidae,NA,NA,Ampelisca,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Amphilochidea,Lysianassida,Synopioidea,Synopiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA
101459,Genus,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Ampithoidae,NA,NA,Ampithoe,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Corophioidea,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA
101460,Genus,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Ampithoidae,NA,NA,Cymadusa,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Corophioidea,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA
101467,Genus,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Aoridae,NA,NA,Bemlos,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Aoroidea,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA
101469,Genus,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Aoridae,NA,NA,Lembos,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Aoroidea,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA
101474,Genus,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Unciolidae,Unciolinae,NA,Unciola,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Aoroidea,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA
