from,to,scientific_id,type,code,rank,definition,tree_name
Symplegma,Colonial ascidians,urn:lsid:marinespecies.org:taxname:206885,NA,NA,Genus,NA,fouling
Ascidiidae,Solitary ascidians,urn:lsid:marinespecies.org:taxname:103443,NA,NA,Family,NA,fouling
Molgulidae,Solitary ascidians,urn:lsid:marinespecies.org:taxname:103448,NA,NA,Family,NA,fouling
Pyuridae,Solitary ascidians,urn:lsid:marinespecies.org:taxname:103449,NA,NA,Family,NA,fouling
Styela,Solitary ascidians,urn:lsid:marinespecies.org:taxname:103543,NA,NA,Genus,NA,fouling
Cirripedia,Barnacles,urn:lsid:marinespecies.org:taxname:1082,NA,NA,Subclass,NA,fouling
Crepidula,Other gastropods,urn:lsid:marinespecies.org:taxname:137722,NA,NA,Genus,NA,fouling
Foraminifera,Forams,urn:lsid:marinespecies.org:taxname:1410,NA,NA,Phylum,NA,fouling
Elasmopus,Tube-building amphipods,urn:lsid:marinespecies.org:taxname:101671,NA,NA,Genus,NA,fouling
Cymadusa,Tube-building amphipods,urn:lsid:marinespecies.org:taxname:101460,NA,NA,Genus,NA,fouling
Ericthonius brasiliensis,Tube-building amphipods,urn:lsid:marinespecies.org:taxname:102401,NA,NA,Species,NA,fouling
Podocerus brasiliensis,Tube-building amphipods,urn:lsid:marinespecies.org:taxname:214744,NA,NA,Species,NA,fouling
Monocorophium acherusicum,Tube-building amphipods,urn:lsid:marinespecies.org:taxname:225814,NA,NA,Species,NA,fouling
Dulichiella appendiculata,Tube-building amphipods,urn:lsid:marinespecies.org:taxname:421504,NA,NA,Species,NA,fouling
Laticorophium baconi,Tube-building amphipods,urn:lsid:marinespecies.org:taxname:421577,NA,NA,Species,NA,fouling
Cerapus cudjoe,Tube-building amphipods,urn:lsid:marinespecies.org:taxname:421589,NA,NA,Species,NA,fouling
Hydroidolina,Hydrozoa,urn:lsid:marinespecies.org:taxname:19494,NA,NA,Subclass,NA,fouling
Enthemonae,Actiniaria,urn:lsid:marinespecies.org:taxname:888371,NA,NA,Suborder,NA,fouling
Calcarea,Porifera,urn:lsid:marinespecies.org:taxname:559,NA,NA,Class,NA,fouling
Demospongiae,Porifera,urn:lsid:marinespecies.org:taxname:164811,NA,NA,Class,NA,fouling
Spirorbinae,Serpulidae,urn:lsid:marinespecies.org:taxname:989,NA,NA,Subfamily,NA,fouling
Filograninae,Serpulidae,urn:lsid:marinespecies.org:taxname:886860,NA,NA,Subfamily,NA,fouling
Serpulinae,Serpulidae,urn:lsid:marinespecies.org:taxname:1636466,NA,NA,Subfamily,NA,fouling
Sabellinae,Sabellidae,urn:lsid:marinespecies.org:taxname:154917,NA,NA,Subfamily,NA,fouling
Aonides,Spionidae,urn:lsid:marinespecies.org:taxname:129605,NA,NA,Genus,NA,fouling
Polydora,Spionidae,urn:lsid:marinespecies.org:taxname:129619,NA,NA,Genus,NA,fouling
Prionospio,Spionidae,urn:lsid:marinespecies.org:taxname:129620,NA,NA,Genus,NA,fouling
Mesochaetopterus,Chaetopteridae,urn:lsid:marinespecies.org:taxname:129230,NA,NA,Genus,NA,fouling
Cirriformia,Cirratulidae,urn:lsid:marinespecies.org:taxname:129245,NA,NA,Genus,NA,fouling
Capitella,Capitellidae,urn:lsid:marinespecies.org:taxname:129211,NA,NA,Genus,NA,fouling
Mediomastus,Capitellidae,urn:lsid:marinespecies.org:taxname:129218,NA,NA,Genus,NA,fouling
Ophelininae,Opheliidae,urn:lsid:marinespecies.org:taxname:319812,NA,NA,Subfamily,NA,fouling
Eteoninae,Phyllodocidae,urn:lsid:marinespecies.org:taxname:152229,NA,NA,Subfamily,NA,fouling
Phyllodocinae,Phyllodocidae,urn:lsid:marinespecies.org:taxname:155424,NA,NA,Subfamily,NA,fouling
Lepidonotinae,Polynoidae,urn:lsid:marinespecies.org:taxname:152403,NA,NA,Subfamily,NA,fouling
Polynoinae,Polynoidae,urn:lsid:marinespecies.org:taxname:155091,NA,NA,Subfamily,NA,fouling
Sigalioninae,Sigalionidae,urn:lsid:marinespecies.org:taxname:1499830,NA,NA,Subfamily,NA,fouling
Ophiodrominae,Hesionidae,urn:lsid:marinespecies.org:taxname:322550,NA,NA,Subfamily,NA,fouling
Syllinae,Syllidae,urn:lsid:marinespecies.org:taxname:152223,NA,NA,Subfamily,NA,fouling
Exogoninae,Syllidae,urn:lsid:marinespecies.org:taxname:152228,NA,NA,Subfamily,NA,fouling
Eusyllinae,Syllidae,urn:lsid:marinespecies.org:taxname:152233,NA,NA,Subfamily,NA,fouling
Brachysyllis,Syllidae,urn:lsid:marinespecies.org:taxname:325031,NA,NA,Genus,NA,fouling
Amphinominae,Amphinomidae,urn:lsid:marinespecies.org:taxname:863342,NA,NA,Subfamily,NA,fouling
Eunice,Eunicidae,urn:lsid:marinespecies.org:taxname:129278,NA,NA,Genus,NA,fouling
Lysidice,Eunicidae,urn:lsid:marinespecies.org:taxname:129280,NA,NA,Genus,NA,fouling
Marphysa,Eunicidae,urn:lsid:marinespecies.org:taxname:129281,NA,NA,Genus,NA,fouling
Lumbrineris,Lumbrineridae,urn:lsid:marinespecies.org:taxname:129337,NA,NA,Genus,NA,fouling
Phragmatopoma,Sabellariidae,urn:lsid:marinespecies.org:taxname:325241,NA,NA,Genus,NA,fouling
Pectinaria,Pectinariidae,urn:lsid:marinespecies.org:taxname:129437,NA,NA,Genus,NA,fouling
Thelepodinae,Terebellidae,urn:lsid:marinespecies.org:taxname:181511,NA,NA,Subfamily,NA,fouling
Terebellinae,Terebellidae,urn:lsid:marinespecies.org:taxname:322588,NA,NA,Subfamily,NA,fouling
Namanereidinae,Nereididae,urn:lsid:marinespecies.org:taxname:324345,NA,NA,Subfamily,NA,fouling
Nereidinae,Nereididae,urn:lsid:marinespecies.org:taxname:324346,NA,NA,Subfamily,NA,fouling
Arabella,Oenonidae,urn:lsid:marinespecies.org:taxname:129199,NA,NA,Genus,NA,fouling
Riftia,Siboglinidae,urn:lsid:marinespecies.org:taxname:324628,NA,NA,Genus,NA,fouling
Crassostreinae,Ostreidae,urn:lsid:marinespecies.org:taxname:510732,NA,NA,Subfamily,NA,fouling
Isognomon,Isognomonidae,urn:lsid:marinespecies.org:taxname:138091,NA,NA,Genus,NA,fouling
Mytilinae,Mytilidae,urn:lsid:marinespecies.org:taxname:224589,NA,NA,Subfamily,NA,fouling
Brachidontinae,Mytilidae,urn:lsid:marinespecies.org:taxname:510720,NA,NA,Subfamily,NA,fouling
Crenellinae,Mytilidae,urn:lsid:marinespecies.org:taxname:510721,NA,NA,Subfamily,NA,fouling
Mytilidae incertae sedis,Mytilidae,urn:lsid:marinespecies.org:taxname:1148652,NA,NA,Subfamily,NA,fouling
Ennucula,Nuculidae,urn:lsid:marinespecies.org:taxname:138261,NA,NA,Genus,NA,fouling
Nucula,Nuculidae,urn:lsid:marinespecies.org:taxname:138262,NA,NA,Genus,NA,fouling
Anadara,Arcidae,urn:lsid:marinespecies.org:taxname:137669,NA,NA,Genus,NA,fouling
Lunarca,Arcidae,urn:lsid:marinespecies.org:taxname:415584,NA,NA,Genus,NA,fouling
Pectininae,Pectinidae,urn:lsid:marinespecies.org:taxname:393857,NA,NA,Subfamily,NA,fouling
Pedinae,Pectinidae,urn:lsid:marinespecies.org:taxname:510739,NA,NA,Subfamily,NA,fouling
Anomia,Anomiidae,urn:lsid:marinespecies.org:taxname:137650,NA,NA,Genus,NA,fouling
Astartinae,Astartidae,urn:lsid:marinespecies.org:taxname:1817149,NA,NA,Subfamily,NA,fouling
Lymnocardiinae,Cardiidae,urn:lsid:marinespecies.org:taxname:381865,NA,NA,Subfamily,NA,fouling
Tellininae,Tellinidae,urn:lsid:marinespecies.org:taxname:225468,NA,NA,Subfamily,NA,fouling
Macominae,Tellinidae,urn:lsid:marinespecies.org:taxname:225471,NA,NA,Subfamily,NA,fouling
Donax,Donacidae,urn:lsid:marinespecies.org:taxname:137906,NA,NA,Genus,NA,fouling
Venerinae,Veneridae,urn:lsid:marinespecies.org:taxname:152410,NA,NA,Subfamily,NA,fouling
Gemminae,Veneridae,urn:lsid:marinespecies.org:taxname:510754,NA,NA,Subfamily,NA,fouling
Myinae,Myidae,urn:lsid:marinespecies.org:taxname:715372,NA,NA,Subfamily,NA,fouling
Cryptomyinae,Myidae,urn:lsid:marinespecies.org:taxname:715373,NA,NA,Subfamily,NA,fouling
Hiatella,Hiatellidae,urn:lsid:marinespecies.org:taxname:138068,NA,NA,Genus,NA,fouling
Pinna,Pinnidae,urn:lsid:marinespecies.org:taxname:138352,NA,NA,Genus,NA,fouling
Lima,Limidae,urn:lsid:marinespecies.org:taxname:138125,NA,NA,Genus,NA,fouling
Ctenoides,Limidae,urn:lsid:marinespecies.org:taxname:390579,NA,NA,Genus,NA,fouling
Cumingia,Semelidae,urn:lsid:marinespecies.org:taxname:156822,NA,NA,Genus,NA,fouling
Tagelus,Solecurtidae,urn:lsid:marinespecies.org:taxname:156997,NA,NA,Genus,NA,fouling
Solemyinae,Solemyidae,urn:lsid:marinespecies.org:taxname:889626,NA,NA,Subfamily,NA,fouling
Chama,Chamidae,urn:lsid:marinespecies.org:taxname:137775,NA,NA,Genus,NA,fouling
Modiolinae,Modiolidae,urn:lsid:marinespecies.org:taxname:510724,NA,NA,Subfamily,NA,fouling
Pinctada,Margaritidae,urn:lsid:marinespecies.org:taxname:138396,NA,NA,Genus,NA,fouling
Dreisseninae,Dreissenidae,urn:lsid:marinespecies.org:taxname:1495377,NA,NA,Subfamily,NA,fouling
Aetea,Aeteidae,urn:lsid:marinespecies.org:taxname:110819,NA,NA,Genus,NA,fouling
Hippopodina,Hippopodinidae,urn:lsid:marinespecies.org:taxname:110925,NA,NA,Genus,NA,fouling
Watersipora,Watersiporidae,urn:lsid:marinespecies.org:taxname:110991,NA,NA,Genus,NA,fouling
Conopeum,Electridae,urn:lsid:marinespecies.org:taxname:110903,NA,NA,Genus,NA,fouling
Celleporaria,Celleporidae,urn:lsid:marinespecies.org:taxname:205020,NA,NA,Genus,NA,fouling
Parasmittina,Smittinidae,urn:lsid:marinespecies.org:taxname:110978,NA,NA,Genus,NA,fouling
Schizoporella,Schizoporellidae,urn:lsid:marinespecies.org:taxname:110975,NA,NA,Genus,NA,fouling
Hippoporina,Bitectiporidae,urn:lsid:marinespecies.org:taxname:110825,NA,NA,Genus,NA,fouling
Bugula,Bugulidae,urn:lsid:marinespecies.org:taxname:110839,NA,NA,Genus,NA,fouling
Caulibugula,Bugulidae,urn:lsid:marinespecies.org:taxname:225832,NA,NA,Genus,NA,fouling
Savignyella,Savignyellidae,urn:lsid:marinespecies.org:taxname:110970,NA,NA,Genus,NA,fouling
Anguinella,Nolellidae,urn:lsid:marinespecies.org:taxname:111010,NA,NA,Genus,NA,fouling
Amathia,Vesiculariidae,urn:lsid:marinespecies.org:taxname:111022,NA,NA,Genus,NA,fouling
Bowerbankia,Vesiculariidae,urn:lsid:marinespecies.org:taxname:111023,NA,NA,Genus,NA,fouling
Victorella,Victorellidae,urn:lsid:marinespecies.org:taxname:111027,NA,NA,Genus,NA,fouling
Crisia,Crisiidae,urn:lsid:marinespecies.org:taxname:111032,NA,NA,Genus,NA,fouling
Catenicella,Catenicellidae,urn:lsid:marinespecies.org:taxname:393233,NA,NA,Genus,NA,fouling
Licornia,Candidae,urn:lsid:marinespecies.org:taxname:723635,NA,NA,Genus,NA,fouling
Cradoscrupocellaria,Candidae,urn:lsid:marinespecies.org:taxname:738968,NA,NA,Genus,NA,fouling
Clavelina,Clavelinidae,urn:lsid:marinespecies.org:taxname:103453,NA,NA,Genus,NA,fouling
Didemnum,Didemnidae,urn:lsid:marinespecies.org:taxname:103456,NA,NA,Genus,NA,fouling
Diplosoma,Didemnidae,urn:lsid:marinespecies.org:taxname:103457,NA,NA,Genus,NA,fouling
Lissoclinum,Didemnidae,urn:lsid:marinespecies.org:taxname:103459,NA,NA,Genus,NA,fouling
Distaplia,Holozoidae,urn:lsid:marinespecies.org:taxname:103464,NA,NA,Genus,NA,fouling
Ecteinascidia,Perophoridae,urn:lsid:marinespecies.org:taxname:103503,NA,NA,Genus,NA,fouling
Perophora,Perophoridae,urn:lsid:marinespecies.org:taxname:103504,NA,NA,Genus,NA,fouling
Aplidium,Polyclinidae,urn:lsid:marinespecies.org:taxname:103471,NA,NA,Genus,NA,fouling
Polyclinum,Polyclinidae,urn:lsid:marinespecies.org:taxname:103474,NA,NA,Genus,NA,fouling
Eudistoma,Polycitoridae,urn:lsid:marinespecies.org:taxname:103465,NA,NA,Genus,NA,fouling
Botryllus schlosseri,Botryllus,urn:lsid:marinespecies.org:taxname:103862,NA,NA,Species,NA,fouling
Botryllus planus,Botryllus,urn:lsid:marinespecies.org:taxname:215992,NA,NA,Species,NA,fouling
Polyandrocarpa zorritensis,Polyandrocarpa,urn:lsid:marinespecies.org:taxname:103895,NA,NA,Species,NA,fouling
Symplegma rubra,Symplegma,urn:lsid:marinespecies.org:taxname:212500,NA,NA,Species,NA,fouling
Symplegma brakenhielmi,Symplegma,urn:lsid:marinespecies.org:taxname:251435,NA,NA,Species,NA,fouling
Ascidia,Ascidiidae,urn:lsid:marinespecies.org:taxname:103483,NA,NA,Genus,NA,fouling
Phallusia,Ascidiidae,urn:lsid:marinespecies.org:taxname:103485,NA,NA,Genus,NA,fouling
Molgula,Molgulidae,urn:lsid:marinespecies.org:taxname:103509,NA,NA,Genus,NA,fouling
Microcosmus,Pyuridae,urn:lsid:marinespecies.org:taxname:103522,NA,NA,Genus,NA,fouling
Herdmania,Pyuridae,urn:lsid:marinespecies.org:taxname:233993,NA,NA,Genus,NA,fouling
Styela canopus,Styela,urn:lsid:marinespecies.org:taxname:103926,NA,NA,Species,NA,fouling
Styela plicata,Styela,urn:lsid:marinespecies.org:taxname:103936,NA,NA,Species,NA,fouling
Thoracica,Cirripedia,urn:lsid:marinespecies.org:taxname:1107,NA,NA,Infraclass,NA,fouling
Crepidula fornicata,Crepidula,urn:lsid:marinespecies.org:taxname:138963,NA,NA,Species,NA,fouling
Crepidula convexa,Crepidula,urn:lsid:marinespecies.org:taxname:160228,NA,NA,Species,NA,fouling
Crepidula atrasolea,Crepidula,urn:lsid:marinespecies.org:taxname:419702,NA,NA,Species,NA,fouling
Crepidula depressa,Crepidula,urn:lsid:marinespecies.org:taxname:419703,NA,NA,Species,NA,fouling
Crepidula maculosa,Crepidula,urn:lsid:marinespecies.org:taxname:419704,NA,NA,Species,NA,fouling
Tubothalamea,Foraminifera,urn:lsid:marinespecies.org:taxname:744102,NA,NA,Class,NA,fouling
Globothalamea,Foraminifera,urn:lsid:marinespecies.org:taxname:744104,NA,NA,Class,NA,fouling
Elasmopus pectenicrus,Elasmopus,urn:lsid:marinespecies.org:taxname:102802,NA,NA,Species,NA,fouling
Elasmopus rapax,Elasmopus,urn:lsid:marinespecies.org:taxname:102805,NA,NA,Species,NA,fouling
Elasmopus levis,Elasmopus,urn:lsid:marinespecies.org:taxname:421508,NA,NA,Species,NA,fouling
Elasmopus nkjaf,Elasmopus,urn:lsid:marinespecies.org:taxname:1364147,NA,NA,Species,NA,fouling
Cymadusa compta,Cymadusa,urn:lsid:marinespecies.org:taxname:158082,NA,NA,Species,NA,fouling
Siphonophorae,Hydroidolina,urn:lsid:marinespecies.org:taxname:1371,NA,NA,Order,NA,fouling
Anthoathecata,Hydroidolina,urn:lsid:marinespecies.org:taxname:13551,NA,NA,Order,NA,fouling
Leptothecata,Hydroidolina,urn:lsid:marinespecies.org:taxname:13552,NA,NA,Order,NA,fouling
Actinioidea,Enthemonae,urn:lsid:marinespecies.org:taxname:853973,NA,NA,Superfamily,NA,fouling
Metridioidea,Enthemonae,urn:lsid:marinespecies.org:taxname:854224,NA,NA,Superfamily,NA,fouling
Calcaronea,Calcarea,urn:lsid:marinespecies.org:taxname:131584,NA,NA,Subclass,NA,fouling
Calcinea,Calcarea,urn:lsid:marinespecies.org:taxname:131585,NA,NA,Subclass,NA,fouling
Heteroscleromorpha,Demospongiae,urn:lsid:marinespecies.org:taxname:607950,NA,NA,Subclass,NA,fouling
Filograna,Filograninae,urn:lsid:marinespecies.org:taxname:129563,NA,NA,Genus,NA,fouling
Salmacina,Filograninae,urn:lsid:marinespecies.org:taxname:129578,NA,NA,Genus,NA,fouling
Serpulini,Serpulinae,urn:lsid:marinespecies.org:taxname:1647419,NA,NA,Tribe,NA,fouling
Bispira,Sabellinae,urn:lsid:marinespecies.org:taxname:129523,NA,NA,Genus,NA,fouling
